Date,vwretx,ewretx
2008-01-02,-0.011983,-0.006655
2008-01-03,-0.000957,-0.004569
2008-01-04,-0.025689,-0.022428
2008-01-07,0.000165,-0.001906
2008-01-08,-0.017276,-0.014073
2008-01-09,0.009914,-0.000568
2008-01-10,0.008406,0.009638
2008-01-11,-0.013982,-0.011448
2008-01-14,0.010452,0.007768
2008-01-15,-0.024764,-0.018449
2008-01-16,-0.006752,-0.000147
2008-01-17,-0.027777,-0.021664
2008-01-18,-0.00558,-0.007332
2008-01-22,-0.009465,-0.010386
2008-01-23,0.01976,0.018187
2008-01-24,0.012561,0.011062
2008-01-25,-0.012965,-0.001545
2008-01-28,0.017151,0.013493
2008-01-29,0.006304,0.007579
2008-01-30,-0.005464,-0.002636
2008-01-31,0.014828,0.015102
2008-02-01,0.015983,0.015673
2008-02-04,-0.009019,-0.003053
2008-02-05,-0.030935,-0.021632
2008-02-06,-0.008277,-0.007339
2008-02-07,0.007547,0.005105
2008-02-08,-0.00211,-0.002793
2008-02-11,0.005751,0.002776
2008-02-12,0.006221,0.004074
2008-02-13,0.014033,0.01276
2008-02-14,-0.013241,-0.013663
2008-02-15,-0.000502,-0.004099
2008-02-19,0.000534,0.002507
2008-02-20,0.008796,0.00497
2008-02-21,-0.012055,-0.009713
2008-02-22,0.006702,0.000367
2008-02-25,0.015047,0.013319
2008-02-26,0.008237,0.009566
2008-02-27,-0.000957,-0.000165
2008-02-28,-0.007818,-0.008768
2008-02-29,-0.02619,-0.020187
2008-03-03,-0.000504,-0.005238
2008-03-04,-0.004815,-0.006747
2008-03-05,0.006599,0.003172
2008-03-06,-0.022165,-0.021506
2008-03-07,-0.0088,-0.007707
2008-03-10,-0.018269,-0.020884
2008-03-11,0.035741,0.026985
2008-03-12,-0.007322,-0.00462
2008-03-13,0.007224,0.007298
2008-03-14,-0.020027,-0.018222
2008-03-17,-0.015047,-0.020983
2008-03-18,0.039549,0.028376
2008-03-19,-0.026105,-0.017168
2008-03-20,0.021192,0.0145
2008-03-24,0.017589,0.021668
2008-03-25,0.005701,0.010797
2008-03-26,-0.006488,-0.002807
2008-03-27,-0.010389,-0.004944
2008-03-28,-0.008034,-0.007315
2008-03-31,0.005299,0.005196
2008-04-01,0.032116,0.020874
2008-04-02,0.000205,0.003193
2008-04-03,0.002676,0.001693
2008-04-04,0.001946,0.002778
2008-04-07,0.001698,0.0018
2008-04-08,-0.003413,-0.002727
2008-04-09,-0.009076,-0.011542
2008-04-10,0.005389,0.005008
2008-04-11,-0.019636,-0.01591
2008-04-14,-0.002581,-0.004434
2008-04-15,0.005095,0.002118
2008-04-16,0.024089,0.017852
2008-04-17,-0.001228,-0.002075
2008-04-18,0.016578,0.012443
2008-04-21,-0.000578,-0.001629
2008-04-22,-0.009297,-0.01285
2008-04-23,0.001102,0.002084
2008-04-24,0.005086,0.007845
2008-04-25,0.006927,0.005692
2008-04-28,0.000186,0.003586
2008-04-29,-0.0057,-0.004917
2008-04-30,-0.001615,0.00166
2008-05-01,0.014397,0.010829
2008-05-02,0.003252,0.000327
2008-05-05,-0.002702,-0.001239
2008-05-06,0.008366,0.006164
2008-05-07,-0.016179,-0.011755
2008-05-08,0.004526,0.001917
2008-05-09,-0.004707,-0.000676
2008-05-12,0.010953,0.010765
2008-05-13,0.000552,0.002291
2008-05-14,0.002881,0.00187
2008-05-15,0.011039,0.008057
2008-05-16,0.002421,0.001076
2008-05-19,-0.000343,-0.000502
2008-05-20,-0.005993,-0.003529
2008-05-21,-0.015414,-0.009184
2008-05-22,0.002786,0.003248
2008-05-23,-0.01155,-0.007309
2008-05-27,0.004883,0.006116
2008-05-28,0.005546,0.003347
2008-05-29,0.004293,0.005167
2008-05-30,0.003061,0.004872
2008-06-02,-0.00905,-0.008391
2008-06-03,-0.004877,-0.001854
2008-06-04,-0.001216,0.001266
2008-06-05,0.020205,0.014676
2008-06-06,-0.026802,-0.019893
2008-06-09,-0.000623,-0.007792
2008-06-10,-0.005049,-0.005401
2008-06-11,-0.015429,-0.015278
2008-06-12,0.001354,0.000722
2008-06-13,0.014685,0.012186
2008-06-16,0.003268,0.005419
2008-06-17,-0.003965,-0.00435
2008-06-18,-0.008291,-0.008453
2008-06-19,0.00222,0.002654
